Id,y
50100,1.8977801
50101,2.1273184
50102,1.3305467
50103,1.9575342
50104,2.3336935
50105,2.0008202
50106,1.8918098
50107,1.9650332
50108,1.9371327
50109,2.0107436
50110,2.6046572
50111,2.122675
50112,1.6860844
50113,2.2878137
50114,1.3973321
50115,2.2122502
50116,2.1829958
50117,1.8929495
50118,1.8704194
50119,1.9643255
50120,1.9044379
50121,2.0805702
50122,0.96698034
50123,1.6641353
50124,3.372744
50125,1.4590291
50126,2.2090693
50127,1.8959552
50128,1.5090178
50129,1.9984082
50130,1.8502809
50131,0.683663
50132,1.8407367
50133,1.8321856
50134,1.871476
50135,2.2625284
50136,2.0466857
50137,2.1200542
50138,1.8047036
50139,2.07978
50140,1.9581541
50141,1.3704833
50142,1.2331151
50143,2.2872634
50144,2.5329232
50145,1.9934884
50146,2.0373707
50147,1.9062008
50148,1.872248
50149,1.9941596
50150,0.49797237
50151,1.7197207
50152,1.8930596
50153,1.784006
50154,4.437008
50155,1.9705256
50156,1.9356655
50157,1.887451
50158,2.2423992
50159,0.5555457
50160,2.0465846
50161,2.1418133
50162,1.9228419
50163,1.2156175
50164,2.30727
50165,1.8567203
50166,0.80416334
50167,1.8760318
50168,2.4036655
50169,0.54850566
50170,1.846634
50171,1.9964856
50172,1.8375286
50173,1.9066161
50174,2.3169756
50175,1.3772959
50176,1.9549791
50177,1.6357256
50178,2.0124502
50179,1.8953847
50180,2.1009898
50181,1.6899003
50182,2.2296796
50183,1.896464
50184,2.210908
50185,0.56462085
50186,1.7673582
50187,1.8124145
50188,1.8718466
50189,1.986292
50190,2.510913
50191,1.8759774
50192,1.8164586
50193,1.9142846
50194,2.2856822
50195,2.1660447
50196,1.9891638
50197,1.920653
50198,2.3740802
50199,2.220829
50200,2.0595098
50201,2.211142
50202,1.3733376
50203,0.7749089
50204,1.8772186
50205,1.1126775
50206,1.86104
50207,2.2375307
50208,2.2021708
50209,2.7775064
50210,2.2181683
50211,2.367293
50212,1.8709103
50213,2.4328232
50214,1.9460632
50215,-0.15738451
50216,-0.025391698
50217,1.7176634
50218,1.9551691
50219,1.8846687
50220,1.9610966
50221,2.2486458
50222,1.8650435
50223,1.8595265
50224,0.85803115
50225,1.9283596
50226,1.98284
50227,1.9020652
50228,2.1574697
50229,2.0425768
50230,2.2438555
50231,2.316482
50232,1.9234308
50233,2.4602695
50234,1.7838792
50235,1.8969544
50236,0.73991954
50237,1.8770894
50238,1.9638633
50239,1.9374112
50240,2.3061314
50241,0.6648253
50242,2.1641493
50243,1.8168172
50244,2.045514
50245,1.9168051
50246,1.9765714
50247,1.8246087
50248,2.0346365
